Região,Ano,Mês,Energia
Sul,2017,Maio,6691196.25
Centro-Oeste,2017,Maio,2971340.08
Brasil,2016,Maio,38652561.57999999
Norte,2016,Maio,2862447
Nordeste,2016,Maio,6725406.93
Sudeste,2016,Maio,19303127.16
Sul,2016,Maio,6859486.78
Centro-Oeste,2016,Maio,2902093.71
Brasil,2015,Maio,38208982.339999996
Norte,2015,Maio,2718412
Nordeste,2015,Maio,6660375.949999999
Sudeste,2015,Maio,19296451.63
Sul,2015,Maio,6683610.3
Centro-Oeste,2015,Maio,2850132.46
Brasil,2014,Maio,39100499
Norte,2014,Maio,2707327
Nordeste,2014,Maio,6683419
Sudeste,2014,Maio,20068194
Sul,2014,Maio,6794930
Centro-Oeste,2014,Maio,2846629
Brasil,2013,Maio,38344861.57
Norte,2013,Maio,2454163.5700000003
Nordeste,2013,Maio,6660227
Sudeste,2013,Maio,19911821
Sul,2013,Maio,6613672
Centro-Oeste,2013,Maio,2704978
Brasil,2012,Maio,36810191.03
Norte,2012,Maio,2430160.15
Nordeste,2012,Maio,6436375
Sudeste,2012,Maio,19244538
Sul,2012,Maio,6141746.88
Centro-Oeste,2012,Maio,2557371
Brasil,2011,Maio,35565987.39
Norte,2011,Maio,2262894.39
Nordeste,2011,Maio,5899310
Sudeste,2011,Maio,18908980
Sul,2011,Maio,6147984
Centro-Oeste,2011,Maio,2346819
Brasil,2010,Maio,34296978
Norte,2010,Maio,2175440
Nordeste,2010,Maio,5959632
Sudeste,2010,Maio,18240192
Sul,2010,Maio,5730901
Centro-Oeste,2010,Maio,2190813
Brasil,2009,Maio,30945452.900000002
Norte,2009,Maio,1923559
Nordeste,2009,Maio,5189806
Sudeste,2009,Maio,16500151
Sul,2009,Maio,5266440
Centro-Oeste,2009,Maio,2065496.9000000001
Brasil,2008,Maio,32299963.39
Norte,2008,Maio,1933034
Nordeste,2008,Maio,5436907.39
Sudeste,2008,Maio,17577262
Sul,2008,Maio,5382338
Centro-Oeste,2008,Maio,1970422
Brasil,2007,Maio,31382917
Norte,2007,Maio,1889427
Nordeste,2007,Maio,5132742
Sudeste,2007,Maio,17290528
Sul,2007,Maio,5219841
Centro-Oeste,2007,Maio,1850379
Brasil,2006,Maio,28925038.559999995
Norte,2006,Maio,1753959.1899999997
Nordeste,2006,Maio,4793831.55
Sudeste,2006,Maio,15885834.52
Sul,2006,Maio,4807141
Centro-Oeste,2006,Maio,1684272.2999999998
Brasil,2005,Maio,28482150.609999996
Norte,2005,Maio,1689408.58
Nordeste,2005,Maio,4738600.68
Sudeste,2005,Maio,15581963.429999998
Sul,2005,Maio,4799820.58
Centro-Oeste,2005,Maio,1672357.34
Brasil,2004,Maio,27244506.479999993
Norte,2004,Maio,1625478.9200000002
Nordeste,2004,Maio,4423584.5200000005
Sudeste,2004,Maio,14906628.719999999
Sul,2004,Maio,4723026.16
Centro-Oeste,2004,Maio,1565788.16
Brasil,2024,Junho,0
Norte,2024,Junho,0
Nordeste,2024,Junho,0
Sudeste,2024,Junho,0
Sul,2024,Junho,0
Centro-Oeste,2024,Junho,0
Brasil,2023,Junho,42649622.92999998
Norte,2023,Junho,3375363.1399999997
Nordeste,2023,Junho,7727777.839999998
Sudeste,2023,Junho,20480714.120000005
Sul,2023,Junho,7697984.850000001
Centro-Oeste,2023,Junho,3367782.9799999995
Brasil,2022,Junho,40938867.979
Norte,2022,Junho,3120577.6099999994
Nordeste,2022,Junho,7021727.61
Sudeste,2022,Junho,19924574.97
Sul,2022,Junho,7594186.448999998
Centro-Oeste,2022,Junho,3277801.34
Brasil,2021,Junho,40428922.62999999
Norte,2021,Junho,3043949.37
Nordeste,2021,Junho,6994341.5600000005
Sudeste,2021,Junho,19751840.64
Sul,2021,Junho,7330462.949999998
Centro-Oeste,2021,Junho,3308328.1100000003
Brasil,2020,Junho,35774623.69999998
Norte,2020,Junho,2708916.2800000003
Nordeste,2020,Junho,6240148.050000001
Sudeste,2020,Junho,17315901.33
Sul,2020,Junho,6566358.790000001
Centro-Oeste,2020,Junho,2943299.2500000005
Brasil,2019,Junho,38448963.43000002
Norte,2019,Junho,2720526.67
Nordeste,2019,Junho,6631774.709999998
Sudeste,2019,Junho,18980779.55
Sul,2019,Junho,7058333.919999998
Centro-Oeste,2019,Junho,3057548.5799999996
Brasil,2018,Junho,38207689.970000006
Norte,2018,Junho,2582786.8200000003
Nordeste,2018,Junho,6603192.869999999
Sudeste,2018,Junho,19179160.04
Sul,2018,Junho,6899775.49
Centro-Oeste,2018,Junho,2942774.75
Brasil,2017,Junho,38119592.089999996
Norte,2017,Junho,2891844
Nordeste,2017,Junho,6597184.91
Sudeste,2017,Junho,18859514.270000003
Sul,2017,Junho,6804976.2
Centro-Oeste,2017,Junho,2966072.71
Brasil,2016,Junho,37557220.230000004
Norte,2016,Junho,2818826
Nordeste,2016,Junho,6602855.78
Sudeste,2016,Junho,18651588.86
Sul,2016,Junho,6644135.8
Centro-Oeste,2016,Junho,2839813.79
Brasil,2015,Junho,37269714.830000006
Norte,2015,Junho,2693038
Nordeste,2015,Junho,6441764.46
Sudeste,2015,Junho,18752590.64
Sul,2015,Junho,6567886
Centro-Oeste,2015,Junho,2814435.73
Brasil,2014,Junho,37726472.88
Norte,2014,Junho,2643397
Nordeste,2014,Junho,6378157.88
Sudeste,2014,Junho,19293127
Sul,2014,Junho,6627215
Centro-Oeste,2014,Junho,2784576
Brasil,2013,Junho,37627698.010000005
Norte,2013,Junho,2449533.01
Nordeste,2013,Junho,6384530
Sudeste,2013,Junho,19652655
Sul,2013,Junho,6498366
Centro-Oeste,2013,Junho,2642614
Brasil,2012,Junho,36528393.11
Norte,2012,Junho,2382273.83
Nordeste,2012,Junho,6135291
Sudeste,2012,Junho,19343073
Sul,2012,Junho,6180121.28
Centro-Oeste,2012,Junho,2487634
Brasil,2011,Junho,35159573.72
Norte,2011,Junho,2323603.7199999997
Nordeste,2011,Junho,5809043
Sudeste,2011,Junho,18737534
Sul,2011,Junho,6011171
Centro-Oeste,2011,Junho,2278222
Brasil,2010,Junho,34169459
